Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
7,493,554,26,588,684,361,303,113,360
624,478,469,428,365,149,532,509,409,501
284,128,285,208,275,672,97,319,470,518
370,118,90,489,316,444,77,180,141,299
65,489,126,379,211,404,523,421,312,119
136,479,167,480,43,305,403,557,598,67
437,285,589,366,510,111,298,493,514,203
397,426,139,562,320,136,569,463,294,163
273,110,99,512,90,147,531,409,560,154
459,71,500,223,606,62,126,214,560,591
476,478,571,364,618,668,192,410,591,187
457,323,392,145,433,613,493,461,201,13
384,188,7,597,68,360,88,233,488,574
385,480,583,313,419,641,58,225,438,567
666,125,404,83,284,627,549,165,406,623
666,476,274,474,510,152,570,556,146,178
518,291,199,115,128,598,542,441,273,554
629,452,575,577,269,593,513,436,609,260
414,452,570,387,313,469,465,382,514,586
135,237,405,217,374,389,70,348,379,58
576,248,249,568,550,215,561,559,340,166
622,400,415,395,465,662,541,464,566,407
314,112,360,355,310,422,461,349,532,117
686,42,603,96,581,258,527,129,262,243
682,203,588,21,632,284,137,114,7,43
607,494,488,127,482,125,59,525,553,13
688,229,589,603,568,90,215,415,528,60
573,471,419,333,494,212,271,386,544,638
268,247,365,138,495,398,87,213,270,158
680,523,115,13,491,660,393,13,356,399
420,13,71,599,267,647,343,421,572,64
516,504,15,129,639,232,188,111,512,511
376,244,621,310,615,188,53,408,127,101
377,465,421,626,275,290,28,138,333,537
122,416,391,221,140,631,13,254,560,147
398,512,131,547,75,342,595,144,426,122
78,507,632,467,536,197,196,211,141,59
73,472,7,78,451,167,71,191,547,650
701,387,493,13,597,158,582,567,288,540
461,377,128,13,267,569,77,494,198,415
436,263,113,639,207,184,378,179,129,405
417,73,13,404,167,701,429,545,495,391
438,549,549,314,533,211,581,140,490,587
363,490,169,485,128,126,369,571,527,517
72,425,510,105,324,682,390,546,507,442
7,235,310,566,541,532,250,246,7,432
688,536,15,497,136,514,601,46,563,377
583,542,626,82,387,374,358,432,213,237
458,467,311,633,268,636,599,282,544,140
470,342,572,609,123,521,464,212,205,60
711,483,492,556,369,739,495,548,90,502
657,198,462,522,364,714,496,338,372,252
7,114,7,518,189,84,557,323,232,67
646,135,15,483,230,326,380,460,393,599
76,502,447,103,181,136,546,386,158,584
598,487,523,99,127,497,351,236,514,60
378,408,13,660,608,127,623,532,149,326
414,338,619,385,563,83,13,447,139,166
189,13,604,105,364,716,322,152,85,648
370,474,524,117,176,352,197,378,346,633
355,354,350,383,576,588,334,163,146,518
537,250,15,78,561,39,309,13,499,458
417,235,541,664,327,626,425,339,545,353
77,501,121,115,292,410,187,560,516,13
650,436,633,115,388,542,82,135,177,339
630,231,608,100,308,397,500,60,503,581
225,186,523,90,13,82,482,486,13,67
165,472,493,656,644,578,287,431,419,648
80,337,529,541,614,279,197,391,274,339
7,282,329,456,485,140,48,277,275,656
728,463,345,658,466,306,584,163,542,301
674,448,356,128,162,388,479,459,428,502
624,549,86,369,643,609,309,251,604,207
254,469,602,400,458,689,460,192,454,112
421,199,567,140,619,554,81,428,615,628
390,160,377,90,39,661,352,133,601,628
726,130,128,331,610,266,313,574,566,58
738,196,554,558,570,108,440,420,541,655
494,101,304,358,510,709,401,275,386,440
451,527,606,649,501,287,356,527,462,607
469,112,325,564,496,37,211,362,302,397
364,77,15,600,216,653,482,418,573,307
625,373,382,585,569,628,433,148,504,658
425,343,664,525,670,498,640,13,570,501
385,13,642,200,525,413,575,449,250,517
70,569,142,125,515,509,201,399,311,368
60,114,7,641,310,725,272,520,492,298
716,431,363,447,458,155,202,155,297,193
126,121,349,378,489,61,73,298,618,444
707,272,129,78,630,277,189,469,608,545
307,513,440,575,461,428,570,374,453,420
152,303,522,425,587,585,98,319,113,210
37,253,233,651,372,375,614,420,13,633
29,13,223,461,162,295,585,531,629,13
606,504,629,353,663,35,485,432,359,439
71,556,635,634,583,475,165,427,284,635
724,501,475,301,288,410,85,132,390,680
466,231,80,628,524,698,461,333,335,380
734,522,75,138,380,428,281,589,526,576
399,512,531,654,571,118,352,234,487,547
54,337,331,514,682,749,639,149,142,127
600,252,437,94,557,299,84,570,478,678
756,393,182,160,282,166,655,565,359,573
666,582,144,366,173,682,70,265,230,624
431,562,691,146,13,618,376,25,225,547
106,457,406,297,614,789,331,106,592,152
457,332,151,678,379,673,657,203,132,233
387,476,552,438,199,564,302,138,623,58
67,396,497,564,515,559,453,459,603,469
42,66,644,565,664,220,656,149,614,324
728,478,594,425,284,776,462,136,249,641
145,443,74,325,105,803,407,177,174,421
466,358,655,621,516,803,613,129,501,316
643,203,661,176,306,530,599,561,537,482
684,449,161,699,613,746,84,191,512,462
735,585,573,653,438,501,200,127,212,42
720,480,13,483,88,116,676,373,523,678
676,385,546,128,13,517,77,169,143,60
296,290,216,113,466,147,673,585,584,601
552,576,667,13,336,368,493,580,574,642
527,501,352,704,231,784,13,310,484,612
93,371,623,600,622,619,149,361,254,467
73,502,619,580,693,805,445,232,119,153
729,337,706,350,663,720,526,372,585,175
149,257,547,246,353,335,652,613,550,140
144,33,177,116,78,111,537,118,241,60
605,529,117,177,13,682,688,494,206,232
320,414,513,403,619,769,664,330,508,623
386,319,705,640,499,549,535,105,373,388
7,530,625,365,309,484,360,541,208,694
773,280,450,336,675,805,671,536,104,354
408,307,285,582,60,85,631,627,570,260
639,283,586,527,586,136,502,37,505,711
515,43,568,543,677,547,629,533,381,236
716,13,348,438,567,152,184,523,597,221
675,485,354,353,608,658,70,459,507,161
425,480,680,113,583,674,176,109,407,717
641,475,681,475,453,414,232,535,347,552
521,380,628,266,393,385,358,360,638,407
667,466,463,647,689,375,660,611,598,550
781,376,704,427,194,747,530,597,593,371
401,507,649,528,435,697,440,502,523,572
598,444,644,78,531,509,435,127,228,67
524,444,630,675,712,645,311,583,139,145
317,54,625,626,282,180,357,248,119,581
158,555,240,497,653,751,643,103,350,482
138,500,717,452,553,812,448,525,120,242
789,305,677,427,338,372,13,252,567,142
