Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
108,189,242,174,173,668,482,433,610,454
634,295,7,124,133,449,382,510,525,24
671,245,364,427,485,705,353,551,495,470
217,111,344,187,166,655,74,136,566,180
629,522,530,353,407,215,70,272,446,378
74,247,15,465,578,200,13,152,351,189
331,107,413,360,504,648,372,504,457,612
309,498,263,26,606,669,72,483,568,417
455,473,394,497,178,599,558,423,544,501
421,118,329,613,13,369,188,164,404,145
432,534,279,368,314,536,13,475,280,60
412,64,274,78,284,641,199,136,556,546
703,510,605,74,532,401,551,387,541,306
438,480,562,628,442,639,292,92,557,457
374,466,397,13,377,55,77,353,512,498
585,211,298,599,57,736,608,379,497,189
362,126,283,605,535,103,413,105,217,646
77,332,13,565,450,705,318,113,97,291
468,504,396,410,440,666,13,285,7,518
589,499,502,502,591,561,560,130,533,403
420,494,119,372,296,526,136,80,13,189
76,244,15,359,642,336,400,341,489,231
607,79,551,84,242,468,335,424,276,438
427,206,376,490,238,403,250,440,146,163
385,377,568,425,53,298,230,541,532,669
67,242,13,396,144,701,75,146,132,344
673,473,534,86,366,206,297,407,7,201
413,504,84,387,117,347,152,212,198,106
624,252,503,27,253,13,633,178,484,313
400,508,438,648,331,13,363,13,441,164
636,428,418,203,281,731,549,479,547,60
411,419,209,118,537,507,445,354,507,291
76,234,405,294,357,434,486,124,495,557
458,222,290,74,643,430,406,445,287,287
639,147,290,370,510,360,82,440,152,668
360,503,261,642,475,447,453,451,107,326
581,478,367,77,130,603,329,557,284,627
566,404,340,13,636,388,79,558,536,617
728,384,611,467,553,178,245,509,346,348
703,359,146,590,349,13,481,241,121,409
649,257,402,586,650,694,441,147,147,571
289,182,383,431,606,579,381,563,122,536
295,558,536,396,308,339,162,589,143,511
687,334,136,657,173,110,7,439,545,67
672,420,117,557,464,662,423,460,356,648
492,400,628,589,314,657,323,250,187,691
53,501,393,607,274,607,298,526,92,661
461,111,505,509,520,318,445,521,568,171
396,81,270,211,350,88,338,262,158,353
271,507,95,121,140,13,649,197,158,679
612,463,116,569,641,730,489,28,148,494
77,358,382,615,381,215,469,351,419,649
728,564,633,515,236,193,636,101,114,665
573,524,438,667,624,139,362,442,600,250
283,499,639,107,564,59,157,593,385,135
674,494,329,528,529,141,403,558,561,316
382,339,615,609,220,152,469,227,376,87
668,220,270,489,65,638,239,108,453,698
368,160,326,114,60,228,601,479,233,268
715,476,603,115,652,689,571,434,223,208
130,291,523,20,583,529,176,360,524,529
736,196,233,116,499,422,217,591,509,555
436,112,529,333,314,119,483,226,279,626
562,528,189,218,635,542,448,186,455,571
482,348,455,629,500,417,78,323,566,186
297,213,75,624,91,648,534,420,617,562
278,359,15,320,522,108,455,386,517,67
654,299,77,602,252,745,326,186,487,693
634,249,563,639,518,706,417,176,608,649
610,486,123,510,408,671,639,437,603,149
722,351,329,356,494,162,379,313,568,601
152,342,655,266,580,598,411,514,504,506
7,257,616,642,586,303,657,374,415,481
438,117,638,242,607,574,637,239,95,426
208,52,553,474,212,680,653,410,146,406
684,558,646,438,343,536,653,405,482,717
434,559,622,358,208,271,154,135,92,637
625,489,322,303,114,762,236,422,483,242
340,41,267,258,335,572,182,182,309,197
176,452,440,664,642,122,203,369,620,703
31,357,325,654,593,47,541,306,455,588
103,127,611,640,553,448,181,587,290,518
149,518,116,300,519,153,66,111,551,468
69,428,547,572,431,774,527,102,507,58
760,13,158,557,388,609,433,578,337,467
720,484,83,452,103,354,319,634,242,358
321,144,619,447,604,715,70,210,117,330
131,565,567,117,520,520,621,496,583,280
66,415,522,107,616,266,336,386,513,468
484,331,377,638,226,782,66,121,363,53
395,497,393,358,602,532,353,652,389,424
341,347,268,123,562,137,309,467,205,324
587,342,480,374,192,771,159,197,526,715
122,82,15,705,613,421,690,122,366,521
763,423,541,636,528,803,545,37,171,266
388,474,536,117,283,678,410,598,617,81
358,394,672,708,674,608,200,243,232,662
739,585,537,218,564,689,482,208,623,67
659,495,262,193,544,609,242,644,563,733
634,305,13,13,469,194,688,254,364,723
600,270,609,670,475,645,678,407,229,658
70,530,590,711,622,55,488,509,119,544
722,500,395,636,537,551,158,254,485,107
277,571,335,601,423,161,686,445,265,628
773,431,250,667,594,537,506,466,501,639
658,406,641,502,224,743,647,331,251,409
508,386,628,698,701,13,637,166,643,715
60,206,558,378,631,389,530,106,608,585
7,427,13,128,386,89,405,642,313,130
323,82,645,83,397,673,91,192,584,706
719,293,135,324,603,518,7,142,429,667
605,545,396,711,558,333,623,137,565,467
521,481,502,622,284,772,13,108,550,67
412,471,357,502,345,13,629,369,636,675
739,482,7,353,280,609,459,591,601,140
75,82,244,689,506,514,310,426,486,721
766,593,681,104,327,204,86,334,413,716
392,519,183,685,298,750,627,59,529,656
478,289,159,405,379,686,547,500,519,386
433,204,525,200,620,656,432,130,459,196
403,160,105,100,425,742,694,115,114,508
353,150,612,696,415,818,649,171,615,716
333,556,73,667,335,199,639,493,595,531
699,477,694,647,656,150,609,529,306,632
425,217,564,522,637,441,650,359,592,67
365,538,409,703,467,441,500,154,493,705
130,373,311,558,227,136,441,260,348,131
671,348,667,433,148,832,153,611,293,637
411,304,458,428,479,142,699,446,125,347
678,269,670,413,430,694,705,507,466,67
588,214,125,88,295,184,691,508,451,713
219,586,85,681,105,310,457,108,567,654
180,497,712,101,666,831,548,103,7,670
45,117,682,278,556,781,48,654,553,375
692,483,657,634,702,102,89,214,229,746
67,313,7,294,237,13,620,631,89,571
583,504,548,395,664,254,480,491,440,476
108,474,503,596,234,805,425,441,111,411
634,371,134,431,470,772,70,156,532,708
414,61,341,21,401,427,621,137,630,378
389,322,713,697,717,403,601,564,620,13
770,142,683,642,97,13,566,374,361,504
515,488,699,227,678,154,351,339,322,535
460,473,688,598,278,361,362,304,643,235
491,243,563,594,58,139,83,610,529,706
7,319,358,369,264,756,390,460,484,557
713,249,259,525,610,361,50,335,436,723
134,174,254,360,600,245,681,170,396,658
540,310,690,125,616,130,36,110,151,608
316,481,605,446,286,828,507,426,547,13
86,236,595,111,667,13,382,308,542,765
667,513,656,97,192,710,77,13,212,716
427,263,471,653,463,566,633,504,528,371
318,133,121,643,324,403,133,164,694,331
63,48,642,543,580,103,13,690,234,342
794,329,568,253,330,13,600,360,495,232
540,154,273,669,631,744,75,345,466,67
196,64,694,614,131,704,392,326,216,333
802,425,639,414,557,639,483,271,703,288
242,260,690,389,663,209,479,518,428,771
237,90,696,74,725,827,459,674,128,381
47,396,571,151,81,634,234,479,274,316
698,81,296,652,677,629,715,279,229,747
434,76,557,618,588,494,580,129,89,237
750,432,528,133,744,359,315,670,565,704
35,558,604,574,434,815,150,625,375,504
541,518,529,215,80,836,186,555,360,695
491,443,735,407,732,651,657,260,556,665
306,413,695,402,497,127,622,461,181,60
552,128,460,337,297,863,277,667,126,591
67,74,711,93,453,808,72,633,612,353
778,256,646,734,13,558,688,628,537,334
253,307,672,650,664,830,473,608,163,710
539,277,657,585,289,642,403,233,123,310
740,72,577,746,455,513,634,213,274,130
336,47,688,86,330,193,564,326,540,396
422,78,368,77,751,854,626,572,260,201
67,78,364,688,662,844,446,537,471,67
478,354,391,538,422,809,457,527,301,593
63,294,141,390,683,115,62,417,131,644
305,69,642,280,338,90,474,212,657,179
275,600,117,441,303,661,635,209,472,690
656,85,7,331,609,704,415,405,447,330
627,502,608,136,419,589,391,656,564,150
818,472,588,587,665,109,156,516,696,191
688,382,73,693,310,700,46,291,637,712
836,277,739,759,270,690,588,216,432,618
791,87,679,689,60,600,473,196,683,58
776,558,645,649,221,320,378,26,613,13
626,293,390,681,727,886,429,492,88,749
805,544,230,631,524,106,365,648,489,704
440,309,15,631,690,217,611,540,520,725
415,254,551,537,385,828,501,375,510,635
80,496,476,743,566,628,7,672,470,120
418,452,246,345,486,623,268,612,430,501
173,528,612,751,77,739,634,392,235,471
58,73,127,651,493,219,614,694,557,396
844,434,7,121,13,813,554,359,447,627
749,314,243,593,669,313,320,681,257,562
664,520,664,169,746,794,210,536,253,427
489,36,629,630,596,739,721,326,228,498
419,287,554,580,516,664,671,642,574,58
414,47,214,761,106,515,613,177,690,189
830,468,660,126,362,738,78,559,430,556
795,554,625,642,733,624,284,590,195,38
645,489,256,703,419,379,159,420,551,288
45,535,687,544,284,900,538,92,467,809
776,500,7,354,450,700,38,553,467,695
771,458,698,700,335,65,694,378,462,690
666,428,688,375,75,526,745,163,614,625
381,248,408,111,391,461,661,169,534,300
622,48,368,772,682,241,631,672,279,776
447,13,599,637,647,111,586,607,640,611
813,629,484,713,572,482,316,102,486,561
768,575,169,578,327,878,727,698,657,456
629,455,756,533,287,783,537,579,457,181
349,611,696,333,242,148,497,519,452,792
640,601,656,13,222,844,187,409,643,747
707,476,476,719,62,839,87,429,508,552
627,537,717,534,623,734,728,279,263,447
7,467,612,635,689,569,303,134,639,673
843,122,157,145,619,164,129,361,634,633
444,473,695,721,344,787,765,282,624,428
821,574,656,691,254,533,475,609,624,771
776,119,462,451,177,203,686,574,690,291
747,525,678,396,359,178,362,406,685,672
727,511,653,722,339,13,558,742,520,392
722,471,288,658,745,854,654,178,361,213
707,291,78,368,521,184,619,13,311,789
62,217,645,273,677,44,740,189,622,569
513,543,596,744,132,913,272,340,7,780
844,408,286,94,573,858,163,315,743,730
839,78,141,721,348,748,153,592,138,665
499,450,752,691,283,13,13,472,679,485
429,536,422,606,13,659,169,227,444,766
55,506,7,436,789,359,136,573,434,751
566,357,498,21,634,595,718,554,329,371
378,52,669,107,389,150,328,499,725,792
188,13,614,82,194,712,624,590,595,757
684,339,107,383,721,547,509,706,460,697
374,314,77,133,661,418,790,291,586,583
370,124,698,664,626,383,715,672,556,639
716,645,388,535,793,624,336,392,206,820
331,615,323,761,603,614,206,573,108,725
447,515,248,731,624,599,467,443,629,462
342,510,254,671,735,399,212,749,605,272
673,360,140,566,596,590,198,104,430,232
353,210,691,146,788,422,249,371,608,67
75,581,738,687,758,137,720,356,123,728
65,231,643,327,758,279,535,537,118,723
406,121,498,237,743,420,140,432,669,568
532,132,273,643,658,50,386,427,224,334
733,132,699,789,633,842,632,343,687,480
708,638,629,609,443,27,482,244,539,460
805,453,424,604,565,908,183,580,615,556
645,268,122,695,565,763,78,155,515,446
455,178,7,490,646,583,629,716,490,567
176,449,588,485,677,178,354,151,145,588
141,414,744,365,663,745,550,647,546,13
862,324,699,796,514,740,485,512,719,629
67,500,689,766,359,531,190,212,479,640
47,556,644,191,665,572,546,563,159,60
378,111,544,668,590,804,476,143,145,827
594,357,294,353,676,635,41,750,116,812
530,583,680,145,501,335,772,726,562,712
270,238,751,496,116,531,723,416,497,67
461,148,691,356,111,872,398,618,332,738
371,576,236,367,722,743,149,483,282,178
832,381,612,327,702,849,425,428,7,554
67,632,417,713,587,749,531,163,619,474
703,462,312,653,572,625,251,108,549,645
439,122,257,724,112,771,688,13,529,405
329,453,137,701,783,726,463,514,299,50
54,228,733,611,779,701,450,494,771,706
245,514,603,431,274,626,205,409,156,441
75,494,298,96,331,626,627,540,492,797
802,134,124,713,627,171,162,681,718,732
367,625,470,588,317,141,643,111,688,512
7,585,526,729,297,832,518,738,554,287
858,420,451,810,713,537,388,609,174,13
758,32,291,585,293,153,78,484,90,664
814,448,572,350,13,685,609,149,726,179
359,308,7,766,631,525,330,370,321,795
820,349,13,697,642,867,801,196,722,650
675,314,380,397,613,777,141,106,403,300
891,611,75,773,548,192,712,448,148,60
631,211,681,708,499,593,682,259,439,321
611,577,572,714,810,333,682,234,781,352
596,557,282,324,420,765,622,575,776,247
839,608,7,645,746,191,648,335,576,67
650,583,573,235,611,166,351,516,506,37
455,498,709,140,702,428,202,216,276,838
410,378,364,446,642,293,72,779,552,338
401,363,796,406,493,495,783,649,487,198
882,655,111,727,473,686,558,149,7,776
742,565,71,608,479,178,350,29,773,636
212,540,727,513,410,701,80,360,648,522
833,520,87,493,816,436,736,636,598,224
849,511,724,699,272,276,547,326,493,670
804,131,680,579,728,121,137,111,719,540
714,142,630,579,709,854,92,682,624,746
802,328,200,534,549,424,743,512,404,698
357,198,15,344,630,175,13,238,720,13
889,13,806,345,325,836,464,719,665,584
709,509,676,801,791,626,74,425,555,826
504,264,747,121,761,606,591,370,430,796
875,249,637,602,696,792,442,591,155,688
766,109,7,437,827,737,322,202,771,633
