road,id,model_type,name,lat,lon,length,condition
N1,200245,link,link 123,22.90697959196175,91.53027914053004,654.0,
N1,200246,bridge,bridge 123,22.9042462955223,91.5316297776119,3.0,A
N1,200247,link,link 124,22.89794244776115,91.53355083880595,1484.0,
N1,200248,bridge,bridge 124,22.8916386,91.5354719,3.0,A
N1,200249,link,link 125,22.883168647058802,91.5381777823529,1970.0,
N1,200250,bridge,bridge 125,22.8746986941176,91.5408836647058,4.3,A
N1,200251,link,link 126,22.873710364504802,91.54123977066226,241.0,
N1,200252,bridge,bridge 126,22.872722034892,91.5415958766187,2.0,A
N1,200253,link,link 127,22.87038920255235,91.5424461053306,551.0,
N1,200254,bridge,bridge 127,22.8680563702127,91.5432963340425,1.5,A
N1,200255,link,link 128,22.8645220287318,91.5442257528778,829.0,
N1,200256,bridge,bridge 128,22.8609876872509,91.5451551717131,4.3,A
N1,200257,link,link 129,22.860236237755,91.54531758524925,174.0,
N1,200258,bridge,bridge 129,22.8594847882591,91.5454799987854,2.0,A
N1,200259,link,link 130,22.8577706777659,91.54559943484725,394.0,
N1,200260,bridge,bridge 130,22.8560565672727,91.5457188709091,1.5,A
N1,200261,link,link 131,22.855602050008,91.5457705279324,108.0,
N1,200262,bridge,bridge 131,22.8551475327433,91.5458221849557,1.5,A
N1,200263,link,link 132,22.851882404606897,91.54609639836019,739.0,
N1,200264,bridge,bridge 132,22.8486172764705,91.5463706117647,8.5,A
N1,200265,link,link 133,22.84700438297205,91.54691976640865,381.0,
N1,200266,bridge,bridge 133,22.8453914894736,91.5474689210526,3.0,A
N1,200267,link,link 134,22.8444233134868,91.5478092386513,235.0,
N1,200268,bridge,bridge 134,22.8434551375,91.54814955625,1.5,A
N1,200269,link,link 135,22.842274735463853,91.54847962571705,274.0,
N1,200270,bridge,bridge 135,22.8410943334277,91.5488096951841,3.0,A
N1,200271,link,link 136,22.8369205513348,91.5494565983209,945.0,
N1,200272,bridge,bridge 136,22.8327467692419,91.5501035014577,3.0,A
N1,200273,link,link 137,22.83185405572185,91.5503031780224,209.0,
N1,200274,bridge,bridge 137,22.8309613422018,91.5505028545871,4.5,A
N1,200275,link,link 138,22.82766599999995,91.55159719999995,772.0,
N1,200276,bridge,bridge 138,22.8243706577981,91.5526915454128,12.4,C
N1,200277,link,link 139,22.817967047722547,91.55447387917695,1462.0,
N1,200278,bridge,bridge 139,22.811563437647,91.5562562129411,9.5,B
N1,200279,link,link 140,22.802872394989798,91.55960873760645,2116.0,
N1,200280,bridge,bridge 140,22.7941813523326,91.5629612622718,4.5,A
N1,200281,link,link 141,22.78818912209185,91.56603191423446,1487.0,
N1,200282,bridge,bridge 141,22.7821968918511,91.5691025661971,23.2,B
N1,200283,link,link 142,22.77819699192555,91.5709881590985,975.0,
N1,200284,bridge,bridge 142,22.774197092,91.5728737519999,6.0,A
N1,200285,link,link 143,22.772224379049,91.57398213655429,493.0,
N1,200286,bridge,bridge 143,22.770251666098,91.5750905211087,9.7,A
N1,200287,link,link 144,22.766657178744353,91.57777220161395,978.0,
N1,200288,bridge,bridge 144,22.7630626913907,91.5804538821192,4.0,A
N1,200289,link,link 145,22.758314007951398,91.58452715288885,1358.0,
N1,200290,bridge,bridge 145,22.7535653245121,91.5886004236585,12.9,A
N1,200291,link,link 146,22.752102337040498,91.5897422303637,404.0,
N1,200292,bridge,bridge 146,22.7506393495689,91.5908840370689,3.0,A
N1,200293,link,link 147,22.7475765009563,91.59264196430266,784.0,
N1,200294,bridge,bridge 147,22.7445136523437,91.5943998915364,8.1,B
N1,200295,link,link 148,22.73391520390835,91.5984165159908,2508.0,
N1,200296,bridge,bridge 148,22.723316755473,91.6024331404452,3.0,A
N1,200297,link,link 149,22.7205705710057,91.6040977356072,708.0,
N1,200298,bridge,bridge 149,22.7178243865384,91.6057623307692,3.0,A
N1,200299,link,link 150,22.71754756038455,91.60593540769224,72.0,
N1,200300,bridge,bridge 150,22.7172707342307,91.6061084846153,3.0,A
N1,200301,link,link 151,22.71557173625595,91.6071718532451,450.0,
N1,200302,bridge,bridge 151,22.7138727382812,91.6082352218749,19.2,C
N1,200303,link,link 152,22.7078446211091,91.61160434138361,1527.0,
N1,200304,bridge,bridge 152,22.701816503937,91.6149734608923,19.2,A
N1,200305,link,link 153,22.6965341093759,91.61757125914986,1301.0,
N1,200306,bridge,bridge 153,22.6912517148148,91.6201690574074,4.2,A
N1,200307,link,link 154,22.6890607397603,91.62110381988015,542.0,
N1,200308,bridge,bridge 154,22.6868697647058,91.6220385823529,3.2,A
N1,200309,link,link 155,22.6819235319051,91.624427763863,1199.0,
N1,200310,bridge,bridge 155,22.6769772991044,91.6268169453731,6.0,A
N1,200311,link,link 156,22.6734683691174,91.62808505746915,849.0,
N1,200312,bridge,bridge 156,22.6699594391304,91.6293531695652,3.0,A
N1,200313,link,link 157,22.66787166861925,91.63024126383665,503.0,
N1,200314,bridge,bridge 157,22.6657838981081,91.6311293581081,3.0,A
N1,200315,link,link 158,22.663689789794752,91.63232755035034,537.0,
N1,200316,bridge,bridge 158,22.6615956814814,91.6335257425926,3.0,A
N1,200317,link,link 159,22.658154055446552,91.63572595953156,887.0,
N1,200318,bridge,bridge 159,22.6547124294117,91.6379261764705,3.1,A
N1,200319,link,link 160,22.6528916920781,91.6389801479676,465.0,
